Subject type;Subject name;Creator;Instrument name;Instrument type;Instrument parameters;Function name;Data series;Wavevector (1/m);PSD (m³);standard error of PSD (m³);comment
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;364424747.8164288;7.261324707009239e-28;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;433539786.19538146;2.729231861042723e-28;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;508938009.88154864;1.3713058336574524e-28;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;590619418.8748783;5.808973045754823e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;691150383.7897564;3.611115221700677e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;810530904.6261609;2.596585922589463e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;948760981.3841212;2.923151804640215e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;1112123799.3707685;6.668549375094393e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;1300619358.5861535;2.0200316635687902e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;1501681288.415902;1.0035827397785798e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;12566370.614359172;9.703117646473971e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;17771531.752633464;1.918267626239962e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;25132741.228718344;1.6191790104044885e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;28099258.924162902;2.856983927846412e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;35543063.50526693;4.048515795101096e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;39058605.98981544;2.1644778142066727e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;46960956.55018283;2.641948253697693e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;53867315.54037471;1.1715514526605015e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;64570264.391773246;3.4434583157244996e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;76579012.9184142;2.7418363326103305e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;89895189.26762068;1.5597565658246664e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;103349325.60472204;1.397551895941172e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;121607111.0333802;6.341824977963665e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;144314067.80640244;3.272708437069134e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;168949718.54327437;2.8118113449663445e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;196645100.20670804;1.299172859487845e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;229179601.0268556;8.193782602999534e-27;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;268701058.84959394;5.688321668538978e-27;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;314929037.1114611;1.9755086914432258e-27;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;368591647.45553905;1.0553686316122119e-27;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;431599542.47639304;4.527249422882512e-28;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;505825993.5647242;2.035206881313165e-28;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;592436743.083305;8.141253178863056e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;693695554.0854526;3.605835177778576e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;812451881.6311898;2.4543864378701953e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;951615728.5160352;2.0921692385674635e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;1114661815.220388;4.446942750037781e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;1305586438.6491945;1.3971881876021864e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD;1525857425.5129192;7.305029293858091e-30;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);12566370.614359243;5.69511439367363e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);25132741.228718486;3.5344366762590434e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);37699111.84307753;1.5622104932590924e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);50265482.45743697;5.573452871471616e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);62831853.07179561;2.460998020629368e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);75398223.68615507;1.632419678406501e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);87964594.3005146;1.4398501395877162e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);100530964.91487394;8.253661623585474e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);119380520.8364118;5.192393862474728e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);144513262.06512988;3.208642084301416e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);169646003.29385018;1.1630394461791654e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);194778744.5225683;7.56296082037978e-27;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);226194671.05846745;4.605128029063281e-27;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);270176968.2087211;2.791137075537324e-27;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);314159265.3589761;9.78039490578509e-28;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);364424747.8164288;5.709008741980112e-28;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);433539786.19538146;1.813417128878831e-28;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);508938009.88154864;8.452167153313745e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);590619418.8748783;3.2411415641013045e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);691150383.7897564;1.3963895346473396e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);810530904.6261609;7.911799632174261e-30;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);948760981.3841212;5.307703396655553e-30;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);1112123799.3707685;4.746250016339692e-30;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);1300619358.5861535;3.358647751212174e-30;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x (incl. unreliable data);1501681288.415902;2.3723155186192786e-30;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);12566370.614359243;2.7676254757368705e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);25132741.228718486;5.149104167187243e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);37699111.84307753;4.1054570540625934e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);50265482.45743697;1.2164018949232992e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);62831853.07179561;2.496499917023992e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);75398223.68615507;2.9249199406797022e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);87964594.3005146;1.332543916432917e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);100530964.91487394;9.653531587891697e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);119380520.8364118;4.66417575872968e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);144513262.06512988;2.318402086829574e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);169646003.29385018;2.046053542281073e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);194778744.5225683;1.2696056963632451e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);226194671.05846745;8.464513680521904e-27;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);270176968.2087211;3.189232048943575e-27;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);314159265.3589761;1.3322814341405246e-27;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);364424747.8164288;7.261324707009239e-28;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);433539786.19538146;2.729231861042723e-28;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);508938009.88154864;1.3713058336574524e-28;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);590619418.8748783;5.808973045754823e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);691150383.7897564;3.611115221700677e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);810530904.6261609;2.596585922589463e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);948760981.3841212;2.923151804640215e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);1112123799.3707685;6.668549375094393e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);1300619358.5861535;2.0200316635687902e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y (incl. unreliable data);1501681288.415902;1.0035827397785798e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD (incl. unreliable data);12566370.614359172;9.703117646473971e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD (incl. unreliable data);17771531.752633464;1.918267626239962e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD (incl. unreliable data);25132741.228718344;1.6191790104044885e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD (incl. unreliable data);28099258.924162902;2.856983927846412e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD (incl. unreliable data);35543063.50526693;4.048515795101096e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD (incl. unreliable data);39058605.98981544;2.1644778142066727e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD (incl. unreliable data);46960956.55018283;2.641948253697693e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD (incl. unreliable data);53867315.54037471;1.1715514526605015e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD (incl. unreliable data);64570264.391773246;3.4434583157244996e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD (incl. unreliable data);76579012.9184142;2.7418363326103305e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD (incl. unreliable data);89895189.26762068;1.5597565658246664e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD (incl. unreliable data);103349325.60472204;1.397551895941172e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD (incl. unreliable data);121607111.0333802;6.341824977963665e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;q/π × 2D PSD (incl. unreliable data);144314067.80640244;3.272708437069134e-26;;
